,well,content,t(h),A750c,F680c
526,D8,Chlamy,120,0.208641669,11246.66667
527,D9,Chlamy,120,0.222674997,11618.33333
528,E1,ICL_162,120,0.220191669,7840.666667
529,E10,ICL_118B,120,0.294241673,11473
530,E11,ICL_100,120,0.205058327,11048.5
531,E12,ICL_108,120,0.228391668,11027.66667
532,E2,ICL_202A,120,0.168224996,6462.833333
533,E3,ICL_202B,120,0.187741668,6890.333333
534,E4,ICL_202C,120,0.206241663,7671.5
535,E5,ICL_131,120,0.158641667,8166
536,E6,ICL_116,120,0.217708335,8363.333333
537,E7,ICL_112,120,0.19800833,7497
538,E8,ICL_163,120,0.169291671,9363
539,E9,ICL_24,120,0.152191667,7632.166667
540,F1,ICL_115,120,0.176625,9679.666667
541,F10,ICL_20BA,120,0.275441668,12545.66667
542,F11,ICL_20BB,120,0.235775,12092.16667
543,F12,ICL_60,120,0.201691668,11428.5
544,F2,ICL_199,120,0.154458335,9006.666667
545,F3,ICL_101,120,0.210374992,11636.33333
546,F4,ICL_139A,120,0.226225,11574.16667
547,F5,ICL_103,120,0.237858331,12077.83333
548,F6,ICL_160,120,0.180724999,10661
549,F7,ICL_129A,120,0.175441664,7385.166667
550,F8,ICL_129B,120,0.227141664,11400.83333
551,F9,ICL_133,120,0.249058332,12261.5
552,G1,ICL_144,120,0.229175002,11421.83333
553,G10,ICL_184BA,120,0.152524999,6571.166667
554,G11,ICL_184BB,120,0.160275003,6218.333333
555,G12,ICL_193,120,0.280708329,10658.33333
556,G2,ICL_41,120,0.268758328,9700.666667
557,G3,ICL_114B,120,0.269375002,10003.5
558,G4,ICL_208B,120,0.208424996,11335.33333
559,G5,ICL_117,120,0.203524998,10575.66667
560,G6,ICL_132,120,0.190125,10864.33333
561,G7,ICL_48,120,0.169608331,7657.5
562,G8,ICL_201,120,0.185658332,7635.833333
