Well	mode	wavelength	abs
D4	Absorbance	550.0	0.9352999925613403
D5	Absorbance	550.0	0.8999000191688538
D6	Absorbance	550.0	0.8535000085830688
D7	Absorbance	550.0	0.8016999959945679
D8	Absorbance	550.0	0.7301999926567078
D9	Absorbance	550.0	0.6614000201225281
D10	Absorbance	550.0	0.588100016117096
D11	Absorbance	550.0	0.5256999731063843
D12	Absorbance	550.0	0.39469999074935913
E1	Absorbance	550.0	1.0
E2	Absorbance	550.0	0.9520000219345093
E3	Absorbance	550.0	0.9068999886512756
E4	Absorbance	550.0	0.8730000257492065
E5	Absorbance	550.0	0.8335000276565552
E6	Absorbance	550.0	0.7831000089645386
E7	Absorbance	550.0	0.7293000221252441
E8	Absorbance	550.0	0.6722999811172485
E9	Absorbance	550.0	0.6137999892234802
E10	Absorbance	550.0	0.5562999844551086
E11	Absorbance	550.0	0.49320000410079956
E12	Absorbance	550.0	0.3605000078678131
F1	Absorbance	550.0	0.9473000168800354
F2	Absorbance	550.0	0.9014000296592712
F3	Absorbance	550.0	0.8522999882698059
F4	Absorbance	550.0	0.8188999891281128
F5	Absorbance	550.0	0.7771999835968018
F6	Absorbance	550.0	0.7210000157356262
F7	Absorbance	550.0	0.6596999764442444
F8	Absorbance	550.0	0.6176000237464905
F9	Absorbance	550.0	0.5491999983787537
F10	Absorbance	550.0	0.49459999799728394
F11	Absorbance	550.0	0.42739999294281006
F12	Absorbance	550.0	0.2955999970436096
G1	Absorbance	550.0	0.9047999978065491
G2	Absorbance	550.0	0.8406000137329102
G3	Absorbance	550.0	0.795799970626831
G4	Absorbance	550.0	0.7617999911308289
G5	Absorbance	550.0	0.7178000211715698
G6	Absorbance	550.0	0.6653000116348267
G7	Absorbance	550.0	0.6068999767303467
G8	Absorbance	550.0	0.5503000020980835
G9	Absorbance	550.0	0.4814999997615814
G10	Absorbance	550.0	0.4244000017642975
G11	Absorbance	550.0	0.35690000653266907
G12	Absorbance	550.0	0.2280000001192093
H1	Absorbance	550.0	0.8037999868392944
H2	Absorbance	550.0	0.7339000105857849
H3	Absorbance	550.0	0.6902999877929688
H4	Absorbance	550.0	0.6632999777793884
H5	Absorbance	550.0	0.6087999939918518
H6	Absorbance	550.0	0.5461999773979187
H7	Absorbance	550.0	0.48890000581741333
H8	Absorbance	550.0	0.4194999933242798
H9	Absorbance	550.0	0.3384999930858612
H10	Absorbance	550.0	0.2858999967575073
H11	Absorbance	550.0	0.22040000557899475
H12	Absorbance	550.0	0.08709999918937683
A1	Absorbance	560.0	1.1416000127792358
A2	Absorbance	560.0	1.0942000150680542
A3	Absorbance	560.0	1.0378999710083008
A4	Absorbance	560.0	0.9937999844551086
A5	Absorbance	560.0	0.9702000021934509
A6	Absorbance	560.0	0.9258000254631042
A7	Absorbance	560.0	0.8741000294685364
A8	Absorbance	560.0	0.8345000147819519
A9	Absorbance	560.0	0.7818999886512756
A10	Absorbance	560.0	0.7387999892234802
A11	Absorbance	560.0	0.6736000180244446
A12	Absorbance	560.0	0.5647000074386597
