experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
2	12	2	17739658.928900003	2019-04-29 16:21:23	JF_PBR_xp2_d12_t2_01.#m4	b
2	12	2	5025.39913	2019-04-29 16:21:23	JF_PBR_xp2_d12_t2_01.#m4	c
2	12	2	18573875.18448	2019-04-29 16:21:53	JF_PBR_xp2_d12_t2_02.#m4	b
2	12	2	0.0	2019-04-29 16:21:53	JF_PBR_xp2_d12_t2_02.#m4	c
2	12	3	37449274.31676	2019-04-29 16:19:41	JF_PBR_xp2_d12_t3_01.#m4	b
2	12	3	65330.188689999995	2019-04-29 16:19:41	JF_PBR_xp2_d12_t3_01.#m4	c
2	12	3	37896534.83933	2019-04-29 16:20:10	JF_PBR_xp2_d12_t3_02.#m4	b
2	12	3	35177.79390999999	2019-04-29 16:20:10	JF_PBR_xp2_d12_t3_02.#m4	c
2	12	4	34464187.23354	2019-04-29 16:17:57	JF_PBR_xp2_d12_t4_01.#m4	b
2	12	4	462336.71996	2019-04-29 16:17:57	JF_PBR_xp2_d12_t4_01.#m4	c
2	12	4	40087608.86001	2019-04-29 16:18:26	JF_PBR_xp2_d12_t4_02.#m4	b
2	12	4	381930.33388000005	2019-04-29 16:18:26	JF_PBR_xp2_d12_t4_02.#m4	c
2	12	5	29283000.730510004	2019-04-29 16:15:35	JF_PBR_xp2_d12_t5_01.#m4	b
2	12	5	221117.56172	2019-04-29 16:15:35	JF_PBR_xp2_d12_t5_01.#m4	c
2	12	5	35037082.734359995	2019-04-29 16:16:04	JF_PBR_xp2_d12_t5_02.#m4	b
2	12	5	201015.9652	2019-04-29 16:16:04	JF_PBR_xp2_d12_t5_02.#m4	c
